name,neighborhood,address,x,y
SAUTE,Canton,"2844 HUDSON ST
Baltimore, MD",980,936
#1 CHINESE KITCHEN,Hampden,"3998 ROLAND AVE
Baltimore, MD",409,310
#1 chinese restaurant,Millhill,"2481 frederick ave
Baltimore, MD",456,389
19TH HOLE,Clifton Park,"2722 HARFORD RD
Baltimore, MD",891,89
3 KINGS,McElderry Park,"2510 MCELDERRY ST
Baltimore, MD",836,706
"3 MILES HOUSE, INC.",Remington,"2701 MILES AVE
Baltimore, MD",875,151
3 W'S TAVERN,McElderry Park,"2518 MONUMENT ST
Baltimore, MD",645,822
300 SOUTH ANN STREET,Upper Fells Point,"300 ANN ST
Baltimore, MD",119,404
438 CLUB,Curtis Bay,"1600 HAZEL ST
Baltimore, MD",923,86
5-MILE HOUSE,Woodmere,"5302 REISTERSTOWN RD
Baltimore, MD",607,722
"743 S. MONTFORD,INC.",Canton,"743 MONTFORD ST
Baltimore, MD",786,599
A & W RESTAURANT,Pulaski Industrial Area,"5625 O DONNELL ST
Baltimore, MD",394,305
A TASTE OF CHINA,Downtown,"219 BALTIMORE ST
Baltimore, MD",222,683
ABACROMBIE FINE FOODS,Mid-Town Belvedere,"58 BIDDLE STREET
Baltimore, MD",759,690
ABC SUSHI,Middle East,"2003 MONUMENT ST
Baltimore, MD",521,629
ACROPOLIS RESTAURANT,Greektown,"4718 EASTERN AVE
Baltimore, MD",96,884
ADMIRAL FELL INN,Fells Point,"818 BROADWAY
Baltimore, MD",946,70
AG & HARP'S,Morrell Park,"2522 WASHINGTON BLVD
Baltimore, MD",197,598
"AIRPORT BAR & GRILL, INC.",Saint Helena,"6500 RIVERVIEW AVE
Baltimore, MD",628,463
AKBAR RESTAURANT,Mount Vernon,"823 CHARLES ST
Baltimore, MD",409,211
"AKDEY SUBWAY, INC.",Millhill,"2407 FREDERICK AVE
Baltimore, MD",496,479
ALDO'S   RESTAURANT,Little Italy,"306 HIGH ST
Baltimore, MD",340,126
ALE MARY'S,Fells Point,"1939 FLEET ST
Baltimore, MD",244,336
ALEXANDER'S TAVERN,Fells Point,"710 BROADWAY
Baltimore, MD",170,508
ALFEO'S,Mondawmin,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD",913,446
AL-HO CLUB,Booth-Boyd,"2105 FREDERICK AVE
Baltimore, MD",665,997
BAY ATLANTIC CLUB,Downtown,"206 REDWOOD ST
Baltimore, MD",563,817
BAY CAFE,Canton,"2809 BOSTON ST
Baltimore, MD",405,149
BEACH  BUMS CAFÂ,Federal Hill,"1038 LIGHT ST
Baltimore, MD",705,995
BECKER'S TAVERN,Baltimore Highlands,"3820 PRATT ST
Baltimore, MD",90,564
BEDROCK,Downtown,"401 BALTIMORE ST
Baltimore, MD",709,324
BEDROCK (KITCHEN AREA),Downtown,"401 BALTIMORE ST
Baltimore, MD",568,88
BELAIR PUB,Glenham-Belford,"5860 BELAIR RD
Baltimore, MD",804,307
BELT STREET PUB,Riverside,"1747 BELT ST
Baltimore, MD",657,111
BELVEDERE TOWERS CAFÂ,Roland Park,"1190 NORTHERN PKWY
Baltimore, MD",861,261
"BERGER'S TAVERN, INCORPORATED",Waltherson,"5523 BELAIR RD
Baltimore, MD",26,562
BERMUDA BAR,Broadway East,"1801 NORTH AVE
Baltimore, MD",491,976
BERTHA'S RESTAURANT,Fells Point,"734 BROADWAY
Baltimore, MD",464,898
BERT'S EATS & DRINKS (3103-05),Charles Village,"3105 ST PAUL ST
Baltimore, MD",478,524
BEST WESTERN TRAVEL PLAZA,Pulaski Industrial Area,"5625 O DONNELL ST
Baltimore, MD",300,68
BIG APPLE TREE CAFÂ,Downtown,"300 BALTIMORE ST
Baltimore, MD",130,407
BIG BAD WOLF'S HOUSE OF BARBEQUE,Harford-Echodale/Perring Parkway,"5713 HARFORD RD
Baltimore, MD",362,477
BIG KAHUNA CANTINA,Inner Harbor,"301 LIGHT ST
Baltimore, MD",462,135
BIG TEE'S BAR & GRILL,Greektown,"300 OLDHAM ST
Baltimore, MD",999,290
BILL'S 60'S & 70'S CLUB,Hollins Market,"1000 LOMBARD ST
Baltimore, MD",939,799
BILL'S CAFE,Graceland Park,"6701 HOLABIRD AVE
Baltimore, MD",127,811
BILL'S LIGHTHOUSE INN,Riverside,"1741 LIGHT ST
Baltimore, MD",618,279
BILTMORE SUITES HOTEL,Mount Vernon,"205 MADISON ST
Baltimore, MD",193,432
BIRCHES RESTAURANT,Canton,"641 MONTFORD AVE
Baltimore, MD",185,13
BIRDS OF A FEATHER,Fells Point,"1712 ALICEANNA ST
Baltimore, MD",967,459
"BLACKTIE SERVICE, LLP",Seton Business Park,"4700 MT HOPE DR
Baltimore, MD",115,7
BLACKTIE SERVICES,Woodberry,"3725 MALDEN AVE
Baltimore, MD",253,274
BLARNEY STONE INN,Brooklyn,"3915 HANOVER ST
Baltimore, MD",516,645
BLARNEY STONE PUB,Fells Point,"704 BROADWAY
Baltimore, MD",17,944
BLEACHERS,Canton,"2501 FLEET ST
Baltimore, MD",814,78
ALLEN RESTAURANT,Waltherson,"5621 BELAIR RD
Baltimore, MD",936,115
ALOHA TOKYO,Locust Point Industrial Area,"1120 FORT AVE
Baltimore, MD",928,294
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,Evergreen,"415 COLD SPRING LN
Baltimore, MD",162,689
AMBASSADOR DINNING ROOM,Tuscany-Canterbury,"3811 CANTERBURY RD
Baltimore, MD",583,262
AMBROSIA'S,Cherry Hill,"1810 CHERRY HILL RD
Baltimore, MD",835,986
AMERICAN FOOD SERVICE,Hollins Market,"901 PRATT ST
Baltimore, MD",335,374
AMERICAN LEGION FEDERAL POST #19,Madison Park,"1502 MADISON AVE
Baltimore, MD",361,621
AMERICAN LEGION POST #187,Curtis Bay,"1527 CHERRY ST
Baltimore, MD",939,371
AMERICAN LEIGON FORT MCHENRY POST #133,Riverside,"506 FORT AVE
Baltimore, MD",990,425
AMIGO'S BAR,Highlandtown,"400 EATON ST
Baltimore, MD",527,547
ANGELINA'S,North Harford Road,"7135 HARFORD RD
Baltimore, MD",720,951
ANGELO'S RESTAURANT & CARRYOUT,Wyman Park,"3600 KESWICK RD
Baltimore, MD",377,660
ANGELS ROCK BAR,Downtown,"10 MARKET PLACE
Baltimore, MD",705,312
ANGLE INN,Pulaski Industrial Area,"5805 O Donnell ST
Baltimore, MD",446,367
ANNABEL LEE TAVERN,Canton,"601 CLINTON ST
Baltimore, MD",834,878
ANNS AT LEXINGTON PLACE,Seton Hill,"631 LEXINGTON ST
Baltimore, MD",76,978
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,Fallstaff,"6798 REISTERSTOWN RD
Baltimore, MD",632,353
aramark at citi bank baltimore,Downtown,"300 st paul pl
Baltimore, MD",201,507
ARAMARK FHC SPORTS  (MAIN KITCHEN),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",847,225
ARAMARK FHC SPORTS (BAR 200-201),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",629,587
ARAMARK FHC SPORTS (BAR 210),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",43,238
ARAMARK FHC SPORTS (BAR 217),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",728,798
ARAMARK FHC SPORTS (BAR 221),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",409,823
ARAMARK FHC SPORTS (BAR 232),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",367,395
ARAMARK FHC SPORTS (BAR 236),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",788,227
ARAMARK FHC SPORTS (BAR 244),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",424,926
ARAMARK FHC SPORTS (BAR 252-253),Stadium Area,"1101 RUSSELL ST
Baltimore, MD",56,441
ARAMARK/PNC,Downtown,"Hopkins Pl
Baltimore, MD",952,124
ARA-MONUMENTAL LIFE INSURANCE COMPANY,Mid-Town Belvedere,"2 CHASE ST
Baltimore, MD",402,526
ARCH SOCIAL CLUB,Penn North,"2426 PENNSYLVANIA
Baltimore, MD",391,999
ARCOS,Washington Hill,"129 BROADWAY
Baltimore, MD",297,519
ARIZONA BAR & GRILL,Washington Hill,"25 BROADWAY
Baltimore, MD",617,498
ASAHI SUSHI,Fells Point,"629 BROADWAY
Baltimore, MD",799,744
asian taste,Hampden,"916 36th st
Baltimore, MD",284,350
ATWATER'S,Chinquapin Park-Belvedere,"529 BELVEDERE AVE
Baltimore, MD",125,882
AU BON PAIN,Downtown,"1 SOUTH ST
Baltimore, MD",13,927
AUSTIN GRILL,Canton,"2400 BOSTON ST
Baltimore, MD",525,768
AUSTIN GRILL,Canton,"2400 BOSTON ST
Baltimore, MD",965,616
AVENUE BAR & LIQUOR,Johnston Square,"1238 GREENMOUNT AVE
Baltimore, MD",321,543
azteca de oro,Greektown,"4901 eastern ave
Baltimore, MD",415,318
B,Bolton Hill,"1501 bolton ST
Baltimore, MD",675,958
B & J RESTAURANT,Carrollton Ridge,"2251 WILKENS AVE
Baltimore, MD",929,891
B & O CAFE,New Southwest/Mount Clare,"1301 PRATT ST
Baltimore, MD",402,174
B G'S,Carrollton Ridge,"301 PAYSON ST
Baltimore, MD",439,397
"B.G.'S,PUB INCORPORATED",Greektown,"619 OLDHAM ST
Baltimore, MD",529,253
babalu grill,Downtown,"34 MARKET PL
Baltimore, MD",908,335
BACKSTRETCH SALOON,Medfield,"1301 OLD COLDSPRING Ln
Baltimore, MD",234,877
BAJA BEACH CLUB  (COMBINED WITH BAR-L),Downtown,"55 MARKET PL
Baltimore, MD",914,292
BALTIMORE BEVERAGE CO. LLC,Downtown,"20 BALTIMORE ST
Baltimore, MD",806,599
BALTIMORE BEVERAGE CO. -STARBUCKS,Downtown,"20 BALTIMORE ST
Baltimore, MD",704,894
BALTIMORE COUNTRY CLUB,Roland Park,"4712 CLUB RD
Baltimore, MD",30,267
BALTIMORE DELIGHT RESTAURANT,Greektown,"4713 EASTERN AVENUE
Baltimore, MD",465,915
"BALTIMORE EAGLE, INC.",Charles North,"2022 CHARLES ST
Baltimore, MD",623,566
BALTIMORE ESTONIAN SOCIETY,South Clifton Park,"1932 BELAIR RD
Baltimore, MD",402,307
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,Inner Harbor,"700 ALICEANNA ST
Baltimore, MD",784,501
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,Inner Harbor,"700 ALICEANNA ST
Baltimore, MD",639,776
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,Inner Harbor,"700 ALICEANNA ST
Baltimore, MD",233,878
BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI,Inner Harbor,"700 ALICEANNA ST
Baltimore, MD",528,724
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,Inner Harbor,"110 EUTAW ST
Baltimore, MD",648,82
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,Inner Harbor,"110 EUTAW ST
Baltimore, MD",645,383
BALTIMORE PHO,Hollins Market,"1114 16 HOLLINS ST
Baltimore, MD",764,908
BALTMORE KICKERS,Washington Hill,"26 BROADWAY
Baltimore, MD",68,47
BANJARA,Federal Hill,"1015 CHARLES ST
Baltimore, MD",421,188
BANTHAI,Downtown,"340 CHARLES ST
Baltimore, MD",541,669
BARISTA ESPRESSO CAFÂ,Inner Harbor,"500 HARBORVIEW DR
Baltimore, MD",528,412
BARNES & NOBLE BOOKSELLERS,Inner Harbor,"601 PRATT ST
Baltimore, MD",465,712
BARTENDERS,Canton,"2218 BOSTON ST
Baltimore, MD",776,161
BLU BAMBU-FRESH AISIAN EATS,Inner Harbor,"621 PRATT ST
Baltimore, MD",391,498
BLUE AGAVE RESTAURANT AND TEQUILERIA,Federal Hill,"1032 LIGHT ST
Baltimore, MD",245,601
BLUE CRAB EXPRESS & CAFÂ INC.,Cherry Hill,"1020 PATAPSCO AVE
Baltimore, MD",933,488
blue island malaysian cuisine,Downtown,"400 lexington st
Baltimore, MD",373,813
BLUE JEAN CAFE,Broening Manor,"6422 HOLABIRD AVE
Baltimore, MD",694,626
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,Fells Point,"1621 ALICEANNA ST
Baltimore, MD",308,793
BLUE PARROT,Glenham-Belford,"5860 BELAIR RD
Baltimore, MD",795,204
BLUE POINT CRAB HOUSE (seasonal),Patterson Place,"237 MONTFORD AVE
Baltimore, MD",450,609
BLUE SEA GRILL,Downtown,"614 WATER ST
Baltimore, MD",964,728
BLUE SKY RESTAURANT,Downtown,"237 PARK AVE
Baltimore, MD",649,654
BLUEHOUSE,Fells Point,"1407 FLEET ST
Baltimore, MD",434,275
BO BROOKS,Canton,"2701 BOSTON ST
Baltimore, MD",332,489
BOB CUMMINGS PLACE,Baltimore-Linwood,"148 EAST AVE
Baltimore, MD",278,935
BOB DELI,Hopkins Bayview,"333 CASSELL DR
Baltimore, MD",209,122
BOB'S BAR,Washington Village,"1173 WASHINGTON BLVD
Baltimore, MD",712,565
BOB'S OLDIE'S CAFÂ,Brewers Hill,"4017 19 EASTERN AVE
Baltimore, MD",760,641
BOCCACCIO,Little Italy,"925 EASTERN AVE
Baltimore, MD",326,978
BOP BRICK OVEN PIZZA,Fells Point,"800 BROADWAY
Baltimore, MD",541,997
BOUILLABAISSE CAFÂ,Downtown,"316 PARK AVE
Baltimore, MD",221,674
BOULDER GARDEN CAFE,Loyola/Notre Dame,"4501 CHARLES ST
Baltimore, MD",791,763
BRASS MONKEY SALOON,Fells Point,"1601 EASTERN AVE
Baltimore, MD",981,882
BRASSERIE TATIN,Tuscany-Canterbury,"105 39TH ST
Baltimore, MD",57,3
BREEZE INC.,Hampden,"850 36TH ST
Baltimore, MD",534,926
"BRENDAL, INC.",Riverside,"201 FORT AVE
Baltimore, MD",396,504
BREWER'S HILL PUB & GRILL,Brewers Hill,"3734 FLEET ST
Baltimore, MD",823,698
BREWSTER'S TAVERN,Upper Fells Point,"2201 GOUGH ST
Baltimore, MD",879,636
BROADWAY DINER,Pulaski Industrial Area,"6501 EASTERN AVE
Baltimore, MD",96,79
BROOKEY'S,Belair-Edison,"4201 BELAIR RD
Baltimore, MD",66,393
BROOKLYN BOOSTER CLUB,Brooklyn,"646 PATAPSCO AVE
Baltimore, MD",487,403
"BROOKLYN INN, LLC",Brooklyn,"705 PATAPSCO
Baltimore, MD",761,757
BROOKLYN PLEASURE CLUB,Brooklyn,"430 PATAPSCO AVE
Baltimore, MD",15,488
"BROTHERS PLACE, INC.",Carrollton Ridge,"1846 PRATT ST
Baltimore, MD",944,27
"BRUCE MCKELDIN CONSULTING, LLC",Fells Point,"702 BROADWAY
Baltimore, MD",834,550
BUD PAOLINO'S RESTAURANT,Baltimore Highlands,"3919 LOMBARD ST
Baltimore, MD",414,569
BUFFALO WINGGS AND BEER,North Harford Road,"7653 HARFORD RD
Baltimore, MD",278,67
BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV,Harwood,"454 WHITERIDGE AVE
Baltimore, MD",595,208
BULLSEYE BAR & GRILLE,North Harford Road,"7653 HARFORD RD
Baltimore, MD",329,992
BURGER KING,Carroll Park,"1735 WASHINGTON BLVD
Baltimore, MD",756,922
BURGER KING,Fells Point,"2033 EASTERN AVE
Baltimore, MD",552,177
BURGER KING,Kresson,"4100 PULASKI HWY
Baltimore, MD",810,24
BURGER KING,Downtown,"8 FAYETTE ST
Baltimore, MD",79,569
BURGER KING # 10293,Druid Heights,"1201 NORTH AVE
Baltimore, MD",303,961
BURGER KING # 13360,Remington,"555 29TH ST
Baltimore, MD",840,501
BURGER KING #10294,Pleasant View Gardens,"1241 ORLEANS ST
Baltimore, MD",159,384
BURGER KING #10295,Central Park Heights,"4400 REISTERSTOWN RD
Baltimore, MD",885,283
BURGER KING #1950,Cherry Hill,"1437 PATAPSCO AVE
Baltimore, MD",512,822
BURGER KING #2610,Mondawmin,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD",483,110
"BURKE'S CAFE, INCORPORATED",Downtown,"36 LIGHT ST
Baltimore, MD",868,291
BURKE'S CAFÂ/ COMEDY FACTORY,Downtown,"36 LIGHT ST
Baltimore, MD",10,323
BUSTER'S PUB,Baltimore-Linwood,"3208 LOMBARD ST
Baltimore, MD",869,967
"BUTTS & BETTY'S TAVERN, INC.",Upper Fells Point,"2200 GOUGH ST
Baltimore, MD",399,867
B-WATCH,Fells Point,"2000 EASTERN AVE
Baltimore, MD",299,271
BYZANTIO CAFÂ,Greektown,"4618 EASTERN AVE
Baltimore, MD",679,545
CAFÂ AZAFRAN,Johns Hopkins Homewood,"3700 SAN MARTIN DR
Baltimore, MD",180,609
CAFÂ EXPRESS,Downtown,"36 CHARLES ST
Baltimore, MD",695,994
CAFÂ GIA,Little Italy,"410 HIGH ST
Baltimore, MD",790,815
CAFÂ GOURMET,Downtown,"1 CHARLES ST
Baltimore, MD",23,898
CAFE' INTERNATIONALE,Inner Harbor,"401 PRATT ST
Baltimore, MD",890,129
CAFÂ LATTE 'DA,Fells Point,"1704 ALICEANNA ST
Baltimore, MD",223,327
CAFE MANET,Federal Hill,"1020 CHARLES ST
Baltimore, MD",825,764
"CAFÂ ON THE SQUARE, LLC",Downtown,"11 PACA ST
Baltimore, MD",901,894
CAFÂ SUSSIE'S,Greenmount West,"203 NORTH AVE
Baltimore, MD",242,435
CAFE ZEN,Rosebank,"438 BELVEDERE AVE
Baltimore, MD",470,918
CALIFORNIA PIZZA KITCHEN,Inner Harbor,"201 PRATT ST
Baltimore, MD",524,260
CAMDEN PUB,University Of Maryland,"647 PRATT ST
Baltimore, MD",10,541
CAMERON'S SEAFOOD,Central Park Heights,"2707 COLD SPRING LN
Baltimore, MD",960,279
CANTINA LAS AMERICAS/LA RUMBA,Washington Hill,"1650 54 E PRATT ST
Baltimore, MD",687,595
CANTON COVE,Canton,"901 CLINTON ST
Baltimore, MD",687,873
CANTON STATION,Canton Industrial Area,"1028 CONKLING ST
Baltimore, MD",523,866
CANTON'S PEARLS,Canton,"3301 BOSTON ST
Baltimore, MD",862,568
CANTON'S PORTSIDE TAVERN,Canton,"2821 O DONNELL ST
Baltimore, MD",291,39
CAPTAIN LARRY'S,Riverside,"601 FORT AVE
Baltimore, MD",512,163
caribbean paradise,Charles North,"1818 charles ST
Baltimore, MD",321,238
CARIBOU COFFEE,Downtown,"1 CHARLES ST
Baltimore, MD",798,223
CARL REFEERS BAR & GRILL,Fells Point,"707 BROADWAY
Baltimore, MD",270,129
CARLOS O'CHARLIES,Highlandtown,"3508 EASTERN AVE
Baltimore, MD",459,174
CARL'S LITTLE HOUSE,Washington Village,"1171 HAMBURG ST
Baltimore, MD",495,323
CARLYLE CLUB,Roland Park,"500 UNIVERSITY PKWY
Baltimore, MD",902,446
CAROLINAS TEX- MEX RESTAURANT,Fells Point,"1704 GOUGH ST
Baltimore, MD",220,398
CAROLINA'S TEX-MEX RESTURANT,Fells Point,"505 BROADWAY
Baltimore, MD",611,102
CARROLL STATION,Carroll Park,"1415 WASHINGTON BLVD
Baltimore, MD",621,452
CARROLL STATION,Carroll Park,"1415 19 WASHINGTON BLVD
Baltimore, MD",804,591
CASSANOVIA,Penn North,"2700 PENNSYLVANIA AVE
Baltimore, MD",968,326
CASTAWAY'S BAR &  GRILL,Canton,"2206 BOSTON ST
Baltimore, MD",293,868
CATALINA RESTAURANT,Inner Harbor,"500 HARBOR VIEW DR
Baltimore, MD",105,665
CATCH 22 SALOON,Joseph Lee,"6000 EASTERN AVE
Baltimore, MD",915,115
CATON HOUSE RESTAURANT,Morrell Park,"1506 CATON AVE
Baltimore, MD",598,693
CATTLE & FIN GRILL,Woodring,"6826 HARFORD RD
Baltimore, MD",194,829
CAZBAR,Downtown,"316 CHARLES ST
Baltimore, MD",782,193
CC LOUNGE,Lucille Park,"4923 REISTERSTOWN RD
Baltimore, MD",586,731
CEASAR'S DEN,Little Italy,"223 HIGH ST
Baltimore, MD",265,800
CEDONIA INN,Frankford,"5900 MORAVIA RD
Baltimore, MD",50,788
"CENTER CLUB, INCORPORATED",Inner Harbor,"100 LIGHT ST
Baltimore, MD",903,952
CENTER STAGE,Mount Vernon,"700 CALVERT ST
Baltimore, MD",404,598
CENTRAL STATION,Mid-Town Belvedere,"1001 CHARLES ST
Baltimore, MD",735,346
CERIELLO FINE FOODS,Chinquapin Park-Belvedere,"529 BELVEDERE AVE
Baltimore, MD",132,618
CHAMPAGNE TONY'S,Mid-Town Belvedere,"1 CHASE ST
Baltimore, MD",17,667
"CHARLES & MADISON, LLC",Mount Vernon,"801 CHARLES ST
Baltimore, MD",139,789
CHARLES RESTAURANT  &  CARRYOUT,Charles Village,"38 25TH ST
Baltimore, MD",381,867
CHARLES ST DELI,Downtown,"2 charles st
Baltimore, MD",721,862
CHARLES VILLAGE PUB,Charles Village,"3107 ST PAUL ST
Baltimore, MD",483,886
CHARLESTON,Inner Harbor,"1000 LANCASTER ST
Baltimore, MD",264,616
CHARLIE & DEE RESTAURANT,Washington Village,"1539 BUSH ST
Baltimore, MD",809,641
CHARLOTTE'S,Riverside,"1542 LIGHT ST
Baltimore, MD",516,731
CHARM CITY INN,Greektown,"500 LEHIGH ST
Baltimore, MD",987,772
CHAZZ &  REN'E,Canton,"800 KENWOOD AVE
Baltimore, MD",931,719
CHEERLEADERS,Fells Point,"702 BROADWAY
Baltimore, MD",614,667
CHEERLEADERS SPORTS BAR,Fells Point,"702 BROADWAY ST
Baltimore, MD",925,236
CHEF PAOLINO,Inner Harbor,"100 CHARLES ST
Baltimore, MD",154,745
CHESAPEAKE BAY RESTAURANT,Johns Hopkins Homewood,"10 ART MUSEUM DR
Baltimore, MD",325,515
CHESAPEAKE WINE COMPANY,Canton,"2400 BOSTON ST
Baltimore, MD",179,623
CHIAPPARELLI'S RESTAURANT,Little Italy,"237 HIGH ST
Baltimore, MD",318,467
CHIC & TROUT (1007-09),Johnston Square,"1007 GREENMOUNT AVE
Baltimore, MD",416,308
CHICKEN RICO,Brewers Hill,"3728 EASTERN AVE
Baltimore, MD",910,34
CHIMES CAFÂ,Seton Business Park,"4814 SETON DR
Baltimore, MD",461,725
CHINA CHEF,Baltimore Highlands,"3816 LOMBARD ST
Baltimore, MD",815,941
CHINA EAST,Joseph Lee,"6230 EASTERN AVE
Baltimore, MD",752,226
CHINA EUTAW EXPRESS,Downtown,"236 238 N EUTAW ST
Baltimore, MD",668,763
CHINA GARDEN,Oldtown,"582 OLD TOWN MALL
Baltimore, MD",774,350
CHINA WOK,Loch Raven,"5820 HILLEN RD
Baltimore, MD",218,624
CHINATOWN CAFÂ,Downtown,"323 PARK AVE
Baltimore, MD",901,213
CHINESE DELIGHT,Hampden,"4032 FALLS RD
Baltimore, MD",212,179
CHIPOTLE,Inner Harbor,"621 PRATT ST
Baltimore, MD",960,997
CHIPOTLE MEXICAN GRILL,Charles Village,"3201 ST PAUL ST
Baltimore, MD",661,8
CHIU'S SUSHI JAPANESE RESTAURANT,Inner Harbor,"608 EXETER ST
Baltimore, MD",599,16
CHIYO SUSHI,Mount Washington,"1619 SULGRAVE AVE
Baltimore, MD",895,990
CHOCOLATEA,Tuscany-Canterbury,"3811 CANTERBURY RD
Baltimore, MD",677,491
CHOPPER'S TAVERN,Upton,"1531 PENNSYLVANIA AVE
Baltimore, MD",770,93
CHOW  MEIN CHARLIES  chinese food,Roland Park,"508 COLD SPRING LN
Baltimore, MD",755,938
CHRIS LIQUOR & GRILL,Washington Village,"1273 washington blvd
Baltimore, MD",341,609
CHUBBIES CLUB,Fells Point,"2000 EASTERN AVE
Baltimore, MD",293,424
CHUCK'S,Canton,"3137 EASTERN AVE
Baltimore, MD",192,317
CHUNG MEE RESTAURANT,Woodbourne Heights,"5646 THE
Baltimore, MD",664,73
CIAO BELLA RESTAURANT,Little Italy,"236 HIGH ST
Baltimore, MD",876,113
CINCO DE MAYO,Little Italy,"1312 EASTERN AVE
Baltimore, MD",299,233
CINGHIALE,Inner Harbor,"822 LANCASTER ST
Baltimore, MD",897,431
CIRCUS BAR & RESTAURANT,Downtown,"427 BALTIMORE ST
Baltimore, MD",737,371
CITY LIMITS SPORTS BAR,Locust Point,"1700 FORT AVE
Baltimore, MD",728,50
claddagh pub,Canton,"2918 O DONNELL ST
Baltimore, MD",855,399
CLASSIC CAFE EXPRESS,Mid-Town Belvedere,"1515 CHARLES ST
Baltimore, MD",916,649
CLAYTON FINE BOOKS & CAFÂ,Downtown,"317 CHARLES ST
Baltimore, MD",568,355
CLIFTON PARK GOLF COURSE SNACK BAR,Darley Park,"2701 ST LO DR
Baltimore, MD",850,215
